county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional
27003,338764,4.020482,83.62771,5.0578313,0.5891566,3.9313252,100893.0,731.0,2475.0,2131.0,104902.0,205795.0,-1.9480551033795768,Swing (Campo de Batalla),1.9480551033795768,27,Minnesota,0.024686126625025086,0.001186809106044326,0.001493025026271977,0.00017391357995536716,0.0011604908431828646,35.742168674698796
27007,45434,1.84,75.04,0.69,18.71,0.73,11426.0,75.0,256.0,244.0,12188.0,23614.0,-3.226899297027188,Swing (Campo de Batalla),3.226899297027188,27,Minnesota,0.16516265351939077,0.004049830523396575,0.0015186864462737155,0.04118061363736409,0.0016067262402605978,30.669999999999998
27013,65125,3.0,90.45625,2.65625,0.35625,1.6875,18330.0,139.0,477.0,374.0,16731.0,35061.0,4.560622914349278,Swing (Campo de Batalla),4.560622914349278,27,Minnesota,0.13889635316698656,0.004606525911708253,0.004078694817658349,0.0005470249520153551,0.0025911708253358924,32.725
27017,35443,1.6142857,86.14286,1.1,7.8142858,0.5857143,10098.0,61.0,231.0,188.0,9791.0,19889.0,1.5435667957162251,Swing (Campo de Batalla),1.5435667957162251,27,Minnesota,0.24304618683520018,0.004554596676353582,0.003103574753830094,0.022047472843720908,0.001652552831306605,30.12857142857143
27019,95715,3.2947369,91.02105,0.9052632,0.18947369,2.7105262,30774.0,141.0,822.0,615.0,34009.0,64783.0,-4.993593998425513,Swing (Campo de Batalla),4.993593998425513,27,Minnesota,0.09509590973201693,0.003442236744501907,0.0009457903149976493,0.00019795610928276654,0.0028318719114036463,46.16842105263158
27027,60879,4.276923,89.53077,1.9230769,1.2230769,1.0,16357.0,101.0,410.0,328.0,15043.0,31400.0,4.1847133757961785,Swing (Campo de Batalla),4.1847133757961785,27,Minnesota,0.14706347016212487,0.0070252845808899626,0.0031588509995236456,0.0020090292218991773,0.0016426025394635259,34.13076923076923
27075,10750,1.1666666,96.23333,0.1,0.13333334,0.0,3647.0,26.0,78.0,58.0,3393.0,7040.0,3.6079545454545454,Swing (Campo de Batalla),3.6079545454545454,27,Minnesota,0.8951937674418604,0.010852712558139535,0.0009302325581395348,0.0012403101395348835,0.0,28.96666666666667
27087,5496,2.9,47.25,0.5,40.05,0.45,1112.0,6.0,9.0,35.0,1142.0,2254.0,-1.3309671694764862,Swing (Campo de Batalla),1.3309671694764862,27,Minnesota,0.8597161572052401,0.05276564774381368,0.009097525473071326,0.728711790393013,0.008187772925764192,27.15
27103,33086,3.857143,91.42857,2.1285715,0.2,1.2285714,9622.0,78.0,222.0,185.0,9018.0,18640.0,3.240343347639485,Swing (Campo de Batalla),3.240343347639485,27,Minnesota,0.2763361240403796,0.01165793084688388,0.006433450704225352,0.0006044852807834129,0.0037132666384573536,38.57142857142857
27131,64886,8.246154,84.35384,3.3384616,0.3846154,2.376923,17402.0,115.0,372.0,333.0,17464.0,34866.0,-0.1778236677565536,Swing (Campo de Batalla),0.1778236677565536,27,Minnesota,0.13000314397558796,0.01270867983848596,0.0051451185155503495,0.0005927556021329717,0.003663229356101471,36.08461538461539
