county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
48431,1346,45.8,52.5,0.2,0.0,0.0,51.0,3.0,1.0,0.0,584.0
48433,1414,20.2,75.5,3.7,0.0,0.0,116.0,1.0,4.0,0.0,615.0
48435,3966,58.8,39.9,0.1,0.0,0.0,322.0,4.0,9.0,0.0,1222.0
48437,7713,39.2,51.766666,5.8333335,0.33333334,0.56666666,478.0,10.0,22.0,0.0,1845.0
48439,1914526,28.504213,49.396347,15.321348,0.30337077,4.346629,411567.0,2617.0,10368.0,404.0,409741.0
48441,134435,26.572973,62.272972,7.3783784,0.36756757,1.6324325,14588.0,150.0,827.0,23.0,39547.0
48443,921,68.0,27.8,1.6,0.8,1.8,119.0,2.0,3.0,0.0,334.0
48445,12687,52.933334,40.766666,5.0,0.33333334,0.06666667,757.0,10.0,33.0,0.0,2812.0
48447,1545,12.7,84.4,0.2,0.0,0.5,82.0,1.0,5.0,0.0,806.0
48449,32553,43.325,42.75,11.9875,0.475,0.5875,2856.0,19.0,94.0,2.0,7570.0
48451,115056,37.983334,55.145832,4.0666666,0.17916666,1.2958333,12239.0,96.0,546.0,16.0,32313.0
48453,1121645,32.686176,51.707375,7.7184334,0.17235023,5.378341,435860.0,2094.0,8905.0,379.0,161337.0
48455,14405,9.26,79.16,10.38,0.46,0.16,1323.0,11.0,25.0,0.0,5579.0
48457,21462,6.6,81.64,9.5,0.34,0.2,1403.0,11.0,52.0,0.0,8194.0
48459,40096,7.542857,80.15714,9.642858,0.44285715,0.55714285,2877.0,22.0,179.0,5.0,15809.0
48461,3405,45.75,49.7,3.75,0.0,0.0,170.0,7.0,13.0,0.0,1178.0
48463,26952,68.88,29.26,0.22,0.4,1.06,4073.0,29.0,66.0,2.0,6174.0
48465,48980,83.2,14.611111,0.67777777,0.07777778,0.32222223,6771.0,47.0,170.0,8.0,8284.0
48467,52736,10.38,83.98,2.57,0.37,0.49,3516.0,33.0,175.0,35.0,22270.0
48469,90099,47.986362,43.154545,6.1272726,0.036363635,1.2772727,10380.0,103.0,339.0,8.0,23358.0
48471,69330,17.68,57.78,22.17,0.25,1.22,7884.0,63.0,287.0,3.0,15375.0
48473,45847,27.5,43.083332,26.283333,0.18333334,0.8,8191.0,82.0,201.0,0.0,14260.0
48475,11225,50.933334,42.333332,5.1666665,0.6,0.3,764.0,26.0,29.0,0.0,3241.0
48477,34236,15.483334,63.35,18.4,0.36666667,1.6166667,4261.0,20.0,178.0,9.0,12959.0
48479,263251,96.015,3.2466667,0.14333333,0.07833333,0.40333334,41820.0,233.0,446.0,0.0,25898.0
48481,41264,39.227272,43.1,17.218182,0.009090909,0.08181818,4694.0,36.0,105.0,0.0,11926.0
48483,5618,25.55,69.1,2.45,0.2,0.5,168.0,3.0,7.0,0.0,2159.0
48485,131957,20.397223,64.375,10.480556,0.60833335,1.7472222,13161.0,125.0,675.0,10.0,32069.0
48487,13158,25.975,62.075,9.025,0.4,0.6,956.0,11.0,33.0,0.0,3524.0
48489,22002,87.92,10.44,0.92,0.08,0.04,3108.0,0.0,0.0,0.0,2441.0
48491,473592,23.976404,62.820225,6.047191,0.1741573,4.666292,143795.0,790.0,4998.0,243.0,139729.0
48493,45509,39.245453,57.736362,1.4727273,0.2,0.2,6350.0,39.0,151.0,10.0,18463.0
48495,7576,55.1,40.933334,2.3666666,0.033333335,0.6333333,358.0,1.0,14.0,0.0,1753.0
48497,61243,17.145454,79.354546,1.0909091,0.6727273,0.35454544,4973.0,47.0,310.0,3.0,27032.0
48499,42712,9.19,83.6,4.99,0.5,0.63,3509.0,40.0,175.0,6.0,19049.0
48501,8213,58.25,39.65,0.45,0.1,0.6,420.0,6.0,31.0,0.0,2174.0
48503,18329,20.5,76.0,1.45,0.475,0.275,1034.0,18.0,76.0,1.0,7110.0
48505,14308,93.7,6.266667,0.033333335,0.0,0.0,1826.0,4.0,11.0,0.0,2033.0
